Designator,Mid X,Mid Y,Rotation,Layer
C1,134.205,-122.71,270.0,top
C10,178.0075,-134.320001,270.0,top
C11,162.1875,-129.799702,90.0,top
C12,155.27,-127.049702,180.0,top
C13,191.6625,-152.71,90.0,top
C14,166.9275,-109.352501,180.0,top
C15,151.46,-112.11,180.0,top
C16,176.33,-157.73,90.0,top
C17,183.1,-153.63,90.0,top
C18,178.707501,-123.63,0.0,top
C19,151.429999,-114.240001,0.0,top
C2,120.725,-123.63,0.0,top
C20,178.707501,-125.69,180.0,top
C21,131.6075,-111.067501,180.0,top
C22,134.5,-111.0,90.0,top
C23,137.4725,-111.727501,180.0,top
C3,117.985,-122.62,270.0,top
C4,111.381001,-85.025,0.0,top
C5,148.140999,-84.635001,0.0,top
C6,120.59,-117.99,270.0,top
C7,128.931001,-88.135,0.0,top
C8,151.95,-148.73,270.0,top
C9,176.8675,-131.49,0.0,top
D1,141.909999,-141.0525,180.0,top
D3,135.18,-145.1925,180.0,top
D4,124.47,-116.41,180.0,top
D5,129.800001,-113.39,180.0,top
D7,166.047501,-107.3425,180.0,top
D8,175.37,-117.887502,270.0,top
IC1,178.27,-142.63,270.0,top
IC2,160.99,-137.87,270.0,top
J1,107.0,-142.96,0.0,top
J2,114.2945,-123.124501,0.0,top
J5,136.380001,-82.38,90.0,top
J6,163.16,-82.15,90.0,top
J7,192.54,-142.95,0.0,top
J8,183.0,-124.37,0.0,top
Q1,158.3825,-147.02,0.0,top
Q11,146.9025,-141.07,0.0,top
Q16,151.7325,-107.199999,0.0,top
Q17,144.2225,-110.309998,0.0,top
Q18,159.73,-117.222499,90.0,top
Q19,168.2625,-87.1675,0.0,top
Q2,189.7025,-155.05,180.0,top
Q20,167.93,-90.96,270.0,top
Q21,163.2425,-94.2825,90.0,top
Q22,163.28,-86.7925,270.0,top
Q23,170.4575,-111.6325,90.0,top
Q24,173.58,-108.352499,90.0,top
Q25,172.580001,-114.807501,270.0,top
Q26,172.5975,-121.827502,270.0,top
Q27,178.35,-94.722499,90.0,top
Q28,178.525,-86.8825,270.0,top
Q29,189.67,-92.5875,90.0,top
Q30,182.05,-91.0625,270.0,top
Q31,157.3825,-109.832499,90.0,top
Q32,145.83,-122.240001,90.0,top
Q33,142.922501,-114.940002,0.0,top
Q34,130.82,-107.350001,270.0,top
Q35,137.779999,-108.157501,90.0,top
Q36,139.9,-145.175,0.0,top
Q4,169.1375,-128.459702,180.0,top
R1,143.05,-145.17,90.0,top
R10,176.98,-108.309999,180.0,top
R11,176.97375,-105.619999,180.0,top
R12,179.6375,-149.89,0.0,top
R13,176.1775,-149.89,0.0,top
R15,175.9875,-134.340001,90.0,top
R17,159.11,-144.09,0.0,top
R18,158.1175,-129.819703,270.0,top
R19,165.98,-137.11,270.0,top
R2,146.28,-144.2725,0.0,top
R20,158.8875,-126.939702,0.0,top
R21,155.2875,-125.069702,180.0,top
R22,160.1475,-129.837202,90.0,top
R23,155.2775,-129.199702,0.0,top
R24,164.2075,-129.797202,270.0,top
R25,166.1275,-128.539702,90.0,top
R26,167.16,-131.449702,0.0,top
R27,168.970001,-119.897501,180.0,top
R28,186.07,-95.08,90.0,top
R29,168.970001,-117.9175,180.0,top
R3,146.28,-146.3025,180.0,top
R30,170.500001,-93.7075,90.0,top
R31,168.97,-115.937501,0.0,top
R32,170.1975,-104.552499,270.0,top
R33,168.197501,-104.5525,90.0,top
R34,187.74,-88.0375,90.0,top
R35,185.78,-88.0375,270.0,top
R36,183.8,-88.0375,90.0,top
R37,184.08,-95.075,90.0,top
R38,172.1775,-104.552501,270.0,top
R39,172.47,-93.7175,90.0,top
R4,163.5875,-146.9875,270.0,top
R40,171.92,-86.645,270.0,top
R41,173.89,-86.6675,270.0,top
R42,174.449999,-93.7175,270.0,top
R43,186.03,-154.84,180.0,top
R44,186.007501,-152.840001,180.0,top
R45,186.0425,-156.88,180.0,top
R46,188.76,-151.18,90.0,top
R47,146.400001,-118.510001,90.0,top
R48,146.860001,-115.6925,180.0,top
R49,178.727501,-121.42,0.0,top
R5,161.58,-146.9875,270.0,top
R50,140.037501,-117.330001,0.0,top
R51,144.49,-107.619999,0.0,top
R52,147.9625,-105.78,0.0,top
R53,178.72,-127.8,180.0,top
R54,178.43,-157.75,270.0,top
R55,151.42,-110.009999,0.0,top
R56,128.1975,-110.287501,270.0,top
R57,134.46,-104.640001,0.0,top
R58,156.14,-113.629999,90.0,top
R59,160.16,-110.064999,90.0,top
R6,123.455,-122.64,270.0,top
R7,120.705001,-121.63,0.0,top
R8,129.255,-119.15,180.0,top
R9,177.0,-110.7,180.0,top
REL1,123.62,-154.25,180.0,top
REL2,131.0,-132.9,180.0,top
SW1,143.809999,-154.49,180.0,top
TU1,130.056,-102.225,0.0,top
TU2,108.0,-100.5,270.0,top
TU3,130.4,-116.45,180.0,top
TU4,148.856,-98.98,180.0,top
TU7,178.6425,-153.91,0.0,top
U2,154.431,-91.755,0.0,top
U3,137.431,-95.225,0.0,top
U4,119.806001,-91.75,0.0,top
U5,156.99,-152.4875,180.0,top
U6,128.795,-122.46,270.0,top
U7,168.98,-152.4975,180.0,top
